samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
511,1.62888637148039,0.894631374227657,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121698651552042,1,8,1.09187186768031,0,1,10,0,-7459.55724068943,-7059.81239525991,-399.74484542952
516,1.62888637148039,0.862741986767001,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121698651552042,1,8,1.09187186768031,0,1,10,0,-7459.28768291415,-7059.54283748463,-399.74484542952
521,1.62888637148039,0.862741986767001,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121698651552042,1,8,1.09187186768031,0,1,10,0,-7462.39604824245,-7060.62191105493,-401.774137187514
526,1.62888637148039,0.862741986767001,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121698651552042,1,8,1.09187186768031,0,1,10,0,-7461.41565957582,-7061.05250936202,-400.363150213804
531,1.62888637148039,0.862741986767001,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121698651552042,1,8,1.09187186768031,0,1,10,0,-7463.37147940826,-7061.32657062044,-402.044908787817
536,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121698651552042,1,8,1.09187186768031,0,1,10,0,-7460.42786211538,-7056.42563434334,-404.00222777204
541,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121698651552042,1,8,1.09187186768031,0,1,10,0,-7460.05914550096,-7056.2940161629,-403.765129338059
546,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121698651552042,1,8,1.09187186768031,0,1,10,0,-7460.05914550096,-7056.2940161629,-403.765129338059
551,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121698651552042,1,8,1.09187186768031,0,1,10,0,-7456.53552482575,-7054.72645800821,-401.80906681754
556,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121698651552042,1,8,1.09187186768031,0,1,10,0,-7456.33438702722,-7056.54022323022,-399.794163796998
561,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.116374672687597,1,8,1.09187186768031,0,1,10,0,-7456.90212098458,-7057.10795718758,-399.794163796998
566,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.116374672687597,1,8,1.09187186768031,0,1,10,0,-7456.49224776274,-7056.60044549618,-399.891802266562
571,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.116374672687597,1,8,1.09187186768031,0,1,10,0,-7462.83383768182,-7060.16944669302,-402.664390988801
576,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.116374672687597,1,8,1.09187186768031,0,1,10,0,-7462.83383768182,-7060.16944669302,-402.664390988801
581,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.116374672687597,1,8,1.09187186768031,0,1,10,0,-7463.93996977117,-7059.36452570318,-404.575444067991
586,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121558066889196,1,8,1.09187186768031,0,1,10,0,-7457.33040935652,-7052.71129022502,-404.619119131494
591,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.121558066889196,1,8,1.09187186768031,0,1,10,0,-7457.33040935652,-7052.71129022502,-404.619119131494
596,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.119169566025322,1,8,1.09187186768031,0,1,10,0,-7455.4215431413,-7051.24425676208,-404.177286379215
601,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.119169566025322,1,8,1.09187186768031,0,1,10,0,-7455.4215431413,-7051.24425676208,-404.177286379215
606,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.119169566025322,1,8,1.09187186768031,0,1,10,0,-7455.4215431413,-7051.24425676208,-404.177286379215
611,1.62888637148039,0.751177146575611,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.128632862080269,1,8,1.09187186768031,0,1,10,0,-7449.80795155911,-7043.77351933477,-406.034432224336
616,1.62888637148039,0.759374231786896,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.128632862080269,1,8,1.09187186768031,0,1,10,0,-7448.22993381962,-7038.68914718672,-409.540786632895
621,1.62888637148039,0.759374231786896,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.146943677504148,1,8,1.09187186768031,0,1,10,0,-7448.01930043792,-7038.47851380503,-409.540786632895
626,1.62888637148039,0.776048509035746,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.146943677504148,1,8,1.09187186768031,0,1,10,0,-7435.77483332105,-7030.31158413206,-405.46324918899
631,1.62888637148039,0.776048509035746,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.146943677504148,1,8,1.09187186768031,0,1,10,0,-7436.12897767387,-7028.97062269014,-407.158354983736
636,1.62888637148039,0.776048509035746,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.146943677504148,1,8,1.09187186768031,0,1,10,0,-7423.17585825018,-7011.39130571327,-411.784552536916
641,1.62888637148039,0.776048509035746,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.146943677504148,1,8,1.09187186768031,0,1,10,0,-7421.52107606692,-7008.40579902004,-413.115277046881
646,1.62888637148039,0.776048509035746,0,0,0.025,0.0772875747168008,0,0.0912201663651026,0.146943677504148,1,8,1.09187186768031,0,1,10,0,-7418.22940072133,-7004.06585314064,-414.163547580688
