"x_coord","y_coord","inf_years"
10.9033136145406,10.1375830019677,23762
10.9800733024692,10.11336619173,23763
11.0568329903979,10.0862378231528,23764
11.1335926783265,10.0563200548754,23765
11.2103523662554,10.0237350455373,23766
11.287112054184,9.98860495377807,23767
11.3638717421127,9.95105193823711,23768
11.4406314300413,9.91119815755388,23769
11.51739111797,9.86916577036781,23770
11.5941508058986,9.82507693531835,23771
11.6709104938273,9.77905381104497,23772
11.7476701817559,9.73121855618712,23773
11.8244298696848,9.68169332938409,23774
11.9011895576134,9.63060028927563,23775
11.977949245542,9.57806159450107,23776
12.0547089334707,9.52419940369984,23777
12.1314686213993,9.46913587551139,23778
12.208228309328,9.41299316857519,23779
12.2849879972566,9.35589344153068,23780
12.3617476851853,9.29795885301733,23781
12.4385073731139,9.23931156167456,23782
