samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
661,1.27097910055044,1.43597505997932,0,0,0.025,0.0571083817324936,0,0.119961286860506,0.0781087582015018,1,8,1.11090733263845,0,1,10,0,-10103.8017806701,-9106.62152083188,-997.180259838169
671,1.27097910055044,1.43597505997932,0,0,0.025,0.0571083817324936,0,0.119961286860506,0.0781087582015018,1,8,1.11090733263845,0,1,10,0,-10098.4156059909,-9104.27306396747,-994.142542023459
681,1.27097910055044,1.43597505997932,0,0,0.025,0.0571083817324936,0,0.119961286860506,0.0781087582015018,1,8,1.11090733263845,0,1,10,0,-10092.5262532597,-9102.41985780073,-990.106395458937
691,1.27097910055044,1.43597505997932,0,0,0.025,0.0571083817324936,0,0.119043247648747,0.0815104443147249,1,8,1.11090733263845,0,1,10,0,-10082.5659989434,-9103.84968756211,-978.716311381291
701,1.27097910055044,1.43597505997932,0,0,0.025,0.0571083817324936,0,0.119043247648747,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10077.9311554119,-9099.28852114673,-978.642634265193
711,1.27097910055044,1.43597505997932,0,0,0.025,0.0571083817324936,0,0.119043247648747,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10069.2954263925,-9092.33066297537,-976.964763417124
721,1.27097910055044,1.43597505997932,0,0,0.025,0.0571083817324936,0,0.11739901560801,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10072.811035577,-9099.55364655853,-973.257389018439
731,1.25836851506975,1.43597505997932,0,0,0.025,0.0571083817324936,0,0.11739901560801,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10068.718259838,-9105.2254181764,-963.492841661636
741,1.24756379134331,1.43597505997932,0,0,0.025,0.0571083817324936,0,0.11739901560801,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10068.8954678822,-9103.84604366928,-965.049424212896
751,1.24756379134331,1.43597505997932,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10076.2674563107,-9115.56582981488,-960.7016264958
761,1.24756379134331,1.43597505997932,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10070.358833842,-9106.57362242278,-963.785211419241
771,1.24756379134331,1.43597505997932,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10068.708163237,-9104.92796300224,-963.780200234791
781,1.24756379134331,1.43597505997932,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10076.0147112941,-9102.96225314084,-973.052458153277
791,1.24756379134331,1.35787445200558,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10060.011804724,-9093.58859446189,-966.42321026206
801,1.24756379134331,1.35787445200558,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10068.4252510262,-9095.65729367343,-972.767957352763
811,1.24756379134331,1.35787445200558,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10079.3902589682,-9091.77031230813,-987.61994666004
821,1.24756379134331,1.35787445200558,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10061.4507888489,-9077.2268701514,-984.22391869747
831,1.24756379134331,1.35787445200558,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10066.7241226037,-9076.41844498174,-990.305677621984
841,1.24756379134331,1.35787445200558,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10062.7637017186,-9076.03069202195,-986.73300969661
851,1.24756379134331,1.35787445200558,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10066.3340338178,-9079.17878499111,-987.155248826638
861,1.24756379134331,1.35787445200558,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10068.7207561372,-9079.50231033714,-989.218445800111
871,1.24756379134331,1.35787445200558,0,0,0.025,0.0565807476310981,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10060.0886842498,-9067.4487261621,-992.639958087715
881,1.24756379134331,1.35787445200558,0,0,0.025,0.0569175433900322,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10055.7925574224,-9069.16415809855,-986.628399323801
891,1.24756379134331,1.35787445200558,0,0,0.025,0.0569175433900322,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10041.5230260138,-9054.9357904736,-986.587235540154
901,1.24756379134331,1.35787445200558,0,0,0.025,0.0569175433900322,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10043.2013541606,-9056.88756103045,-986.313793130162
911,1.24756379134331,1.35787445200558,0,0,0.025,0.0569175433900322,0,0.120475903935495,0.0802627841137953,1,8,1.11090733263845,0,1,10,0,-10050.5287955902,-9064.98386664311,-985.544928947091
921,1.24756379134331,1.35787445200558,0,0,0.025,0.0569175433900322,0,0.120475903935495,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10048.9461908005,-9061.40457175612,-987.541619044393
931,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.120475903935495,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10032.8468809983,-9053.78815095729,-979.058730041003
941,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.120475903935495,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10021.8651439876,-9042.77362634584,-979.091517641753
951,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10019.0166323728,-9037.85121762382,-981.165414748937
961,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10014.0699587916,-9038.16080205435,-975.909156737273
971,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10004.638248948,-9037.67306394998,-966.965184998018
981,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10000.6591025871,-9027.563228425,-973.095874162072
991,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10005.1122345059,-9032.76849432714,-972.343740178809
1001,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10015.0739225003,-9035.5607835447,-979.513138955626
1011,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10006.6925962886,-9034.53487588821,-972.157720400411
1021,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10001.9360992615,-9029.72145218039,-972.214647081137
1031,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10004.9545543848,-9035.56962451638,-969.384929868387
1041,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10013.9697067679,-9027.9017225967,-986.067984171252
1051,1.24756379134331,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-9998.00989819783,-9020.02784928583,-977.982048912
1061,1.26390365112851,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0802627841137953,1,8,1.10214983246922,0,1,10,0,-10003.6245861284,-9018.9114297541,-984.71315637429
1071,1.26390365112851,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0847788394880479,1,8,1.10214983246922,0,1,10,0,-9999.8731171525,-9008.75395661562,-991.119160536874
1081,1.26390365112851,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.118974635784217,0.0847788394880479,1,8,1.10214983246922,0,1,10,0,-9987.57508458053,-8998.68669529781,-988.888389282727
1091,1.26390365112851,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.119803131352889,0.0847788394880479,1,8,1.09346859423478,0,1,10,0,-10003.262758879,-9002.97826849147,-1000.28449038755
1101,1.26390365112851,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.119803131352889,0.0847788394880479,1,8,1.09346859423478,0,1,10,0,-10001.6486080459,-9007.08837063351,-994.560237412382
1111,1.26390365112851,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.119803131352889,0.0847788394880479,1,8,1.09346859423478,0,1,10,0,-10002.3763851978,-9006.03129850191,-996.345086695859
1121,1.26390365112851,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.119803131352889,0.0847788394880479,1,8,1.09346859423478,0,1,10,0,-9995.80488837203,-8993.78466790285,-1002.02022046918
1131,1.26390365112851,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.119803131352889,0.0847788394880479,1,8,1.09346859423478,0,1,10,0,-9998.54045443959,-8997.98594995635,-1000.55450448323
1141,1.29177566428886,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.119803131352889,0.0847788394880479,1,8,1.09346859423478,0,1,10,0,-9992.25118745917,-8995.728099497,-996.523087962166
1151,1.29177566428886,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.119803131352889,0.0847788394880479,1,8,1.09346859423478,0,1,10,0,-9997.2261624374,-8996.20910021324,-1001.01706222416
1161,1.29177566428886,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.119803131352889,0.0847788394880479,1,8,1.09346859423478,0,1,10,0,-9990.18493328942,-8991.57253383958,-998.612399449833
1171,1.29177566428886,1.36827048324055,0,0,0.025,0.0569175433900322,0,0.119803131352889,0.0847788394880479,1,8,1.09346859423478,0,1,10,0,-9979.81006924965,-8988.41120515039,-991.398864099255
