samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,exponential_waning,posterior_prob,likelihood,prior_prob
901,1.90364700927366,1.54592709083875,0,0,0.025,0.226747401350518,0,0.0944403948829515,0.300951971546284,1,8,1.08842317571212,0,1,10,0,0,-9814.23050159678,-8878.20024617089,-936.030255425891
911,1.90364700927366,1.54592709083875,0,0,0.025,0.203183858760689,0,0.0944403948829515,0.300951971546284,1,8,1.08842317571212,0,1,10,0,0,-9816.17168627978,-8881.94295925876,-934.228727021017
921,1.90364700927366,1.46219626249206,0,0,0.025,0.203183858760689,0,0.0944403948829515,0.341332575505873,1,8,1.08842317571212,0,1,10,0,0,-9805.65147158408,-8867.26886519992,-938.382606384153
931,1.90364700927366,1.57556802484164,0,0,0.025,0.203183858760689,0,0.0944403948829515,0.322428890137284,1,8,1.08842317571212,0,1,10,0,0,-9788.83227586264,-8853.964106293,-934.868169569643
941,1.90364700927366,1.57556802484164,0,0,0.025,0.204176084571198,0,0.0944403948829515,0.322428890137284,1,8,1.08842317571212,0,1,10,0,0,-9795.91127085845,-8855.59767530608,-940.313595552374
951,1.90364700927366,1.57556802484164,0,0,0.025,0.204176084571198,0,0.0944403948829515,0.308372069662761,1,8,1.08842317571212,0,1,10,0,0,-9801.88017917847,-8860.71822800222,-941.161951176253
961,1.90364700927366,1.57556802484164,0,0,0.025,0.204176084571198,0,0.0944403948829515,0.308372069662761,1,8,1.08842317571212,0,1,10,0,0,-9808.90496927852,-8865.18475979144,-943.720209487078
971,1.88639666055574,1.57556802484164,0,0,0.025,0.190149825774404,0,0.0944403948829515,0.325883391579554,1,8,0.99279023276185,0,1,10,0,0,-9811.22172257292,-8866.38922808796,-944.83249448496
981,1.88639666055574,1.57556802484164,0,0,0.025,0.183545119098245,0,0.0944403948829515,0.325883391579554,1,8,0.99279023276185,0,1,10,0,0,-9808.36929982853,-8862.214131011,-946.155168817531
991,1.88639666055574,1.57556802484164,0,0,0.025,0.213753306062587,0,0.0944403948829515,0.325883391579554,1,8,0.99279023276185,0,1,10,0,0,-9797.39508356647,-8850.45313675392,-946.941946812551
1001,1.88639666055574,1.57556802484164,0,0,0.025,0.188260911323193,0,0.0944403948829515,0.325883391579554,1,8,0.99279023276185,0,1,10,0,0,-9794.51667137619,-8850.3633980546,-944.153273321593
1011,1.88639666055574,1.57556802484164,0,0,0.025,0.195607346733177,0,0.0944403948829515,0.325883391579554,1,8,0.99279023276185,0,1,10,0,0,-9785.21575429885,-8844.99126005536,-940.224494243496
1021,1.88639666055574,1.57556802484164,0,0,0.025,0.195607346733177,0,0.0944403948829515,0.325883391579554,1,8,0.99279023276185,0,1,10,0,0,-9778.96625356857,-8843.33256351068,-935.633690057892
1031,1.88639666055574,1.57556802484164,0,0,0.025,0.193192574562052,0,0.0944403948829515,0.319390263336984,1,8,0.99279023276185,0,1,10,0,0,-9773.43630976046,-8836.56602536195,-936.870284398511
1041,1.88639666055574,1.57556802484164,0,0,0.025,0.193192574562052,0,0.0944403948829515,0.28929150640793,1,8,0.99279023276185,0,1,10,0,0,-9773.08860969044,-8832.59226978988,-940.496339900561
1051,1.88639666055574,1.57556802484164,0,0,0.025,0.193192574562052,0,0.0944403948829515,0.321389297165204,1,8,0.99279023276185,0,1,10,0,0,-9772.99648074677,-8828.99909976607,-943.997380980705
1061,1.88639666055574,1.57556802484164,0,0,0.025,0.193192574562052,0,0.0944403948829515,0.317673749252255,1,8,0.99279023276185,0,1,10,0,0,-9775.58447500833,-8828.7870492241,-946.797425784233
1071,1.88639666055574,1.57556802484164,0,0,0.025,0.189673093017657,0,0.0944403948829515,0.345238395004903,1,8,0.99279023276185,0,1,10,0,0,-9774.0255266619,-8828.91486221573,-945.110664446169
1081,1.88639666055574,1.57556802484164,0,0,0.025,0.189673093017657,0,0.0944403948829515,0.335559668707757,1,8,0.99279023276185,0,1,10,0,0,-9769.10717813099,-8826.89661241803,-942.210565712965
1091,1.88639666055574,1.57556802484164,0,0,0.025,0.189673093017657,0,0.0944403948829515,0.335559668707757,1,8,0.99279023276185,0,1,10,0,0,-9778.43320669643,-8836.45497296083,-941.978233735597
1101,1.88639666055574,1.57556802484164,0,0,0.025,0.184258583797092,0,0.0944403948829515,0.335559668707757,1,8,0.99279023276185,0,1,10,0,0,-9773.19596344365,-8830.91375865089,-942.28220479277
1111,1.88639666055574,1.57556802484164,0,0,0.025,0.184258583797092,0,0.0944403948829515,0.335559668707757,1,8,0.99279023276185,0,1,10,0,0,-9778.00789014539,-8832.08945386254,-945.918436282856
1121,1.88639666055574,1.57556802484164,0,0,0.025,0.205310095449561,0,0.0944403948829515,0.335559668707757,1,8,0.99279023276185,0,1,10,0,0,-9765.37720492595,-8818.9371044926,-946.440100433358
1131,1.88639666055574,1.57556802484164,0,0,0.025,0.234545060613978,0,0.0944403948829515,0.288937416639874,1,8,0.99279023276185,0,1,10,0,0,-9758.82738223719,-8814.19515537431,-944.632226862873
1141,1.88639666055574,1.57556802484164,0,0,0.025,0.253342698231638,0,0.0944403948829515,0.288937416639874,1,8,0.99279023276185,0,1,10,0,0,-9770.89482032864,-8822.24405843401,-948.650761894629
1151,1.88639666055574,1.53761695405104,0,0,0.025,0.230199974163341,0,0.0944403948829515,0.288937416639874,1,8,0.99279023276185,0,1,10,0,0,-9761.70198230801,-8815.21153745843,-946.49044484958
1161,1.88639666055574,1.55948890707775,0,0,0.025,0.230199974163341,0,0.0944403948829515,0.31705146264441,1,8,0.99279023276185,0,1,10,0,0,-9768.05914928702,-8821.12838544978,-946.93076383724
1171,1.88639666055574,1.66884104952192,0,0,0.025,0.230199974163341,0,0.0944403948829515,0.31705146264441,1,8,0.99279023276185,0,1,10,0,0,-9757.51940949906,-8814.26204966558,-943.257359833483
1181,1.88639666055574,1.66884104952192,0,0,0.025,0.230199974163341,0,0.0944403948829515,0.306832962641785,1,8,0.99279023276185,0,1,10,0,0,-9720.18518775473,-8777.185538261,-942.999649493726
1191,1.88639666055574,1.58864886901317,0,0,0.025,0.230199974163341,0,0.0944403948829515,0.306832962641785,1,8,0.99279023276185,0,1,10,0,0,-9716.13785281084,-8772.96554367123,-943.172309139608
1201,1.88639666055574,1.58864886901317,0,0,0.025,0.209744607754256,0,0.0944403948829515,0.306832962641785,1,8,0.99279023276185,0,1,10,0,0,-9722.08363058645,-8779.03059166117,-943.05303892528
1211,1.88639666055574,1.600347796565,0,0,0.025,0.21769714615564,0,0.0944403948829515,0.306832962641785,1,8,0.99279023276185,0,1,10,0,0,-9711.00427575763,-8770.06668207071,-940.937593686924
1221,1.88639666055574,1.600347796565,0,0,0.025,0.21769714615564,0,0.0944403948829515,0.29420869242293,1,8,0.99279023276185,0,1,10,0,0,-9714.22180772501,-8776.95192499752,-937.269882727494
1231,1.88639666055574,1.84228654364022,0,0,0.025,0.21769714615564,0,0.0944403948829515,0.319643333960747,1,8,0.99279023276185,0,1,10,0,0,-9714.64774655001,-8781.82483103014,-932.822915519868
1241,1.88639666055574,1.84228654364022,0,0,0.025,0.267640719692984,0,0.0944403948829515,0.319643333960747,1,8,0.99279023276185,0,1,10,0,0,-9709.23874564056,-8778.03442479703,-931.204320843534
1251,1.88639666055574,1.84228654364022,0,0,0.025,0.244274683343045,0,0.0944403948829515,0.319643333960747,1,8,0.99279023276185,0,1,10,0,0,-9702.96412031995,-8772.03422507557,-930.92989524438
1261,1.88639666055574,1.71731031928224,0,0,0.025,0.244274683343045,0,0.0944403948829515,0.289568304128528,1,8,0.99279023276185,0,1,10,0,0,-9697.8943976599,-8763.43036092462,-934.464036735283
1271,1.88639666055574,1.71731031928224,0,0,0.025,0.244274683343045,0,0.0944403948829515,0.289568304128528,1,8,0.99279023276185,0,1,10,0,0,-9696.37418165639,-8762.6931806342,-933.681001022187
1281,1.88639666055574,1.71731031928224,0,0,0.025,0.244274683343045,0,0.0944403948829515,0.293672145331233,1,8,0.99279023276185,0,1,10,0,0,-9704.72763501133,-8767.19504307109,-937.532591940245
1291,1.88639666055574,1.82762811327042,0,0,0.025,0.244274683343045,0,0.0944403948829515,0.293672145331233,1,8,0.99279023276185,0,1,10,0,0,-9702.01724814899,-8769.22642468735,-932.790823461648
1301,1.88639666055574,1.82762811327042,0,0,0.025,0.244274683343045,0,0.0944403948829515,0.320698738602302,1,8,0.99279023276185,0,1,10,0,0,-9694.79856435321,-8762.76152387656,-932.037040476654
